2016-11-17 17:28:14,945 INFO:Logging init parameters : {'filename': './GA.log', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filemode': 'w'}
2016-11-17 17:28:14,946 INFO:Model 0 inititalized
2016-11-17 17:29:08,979 INFO:Path 177 found
2016-11-17 17:29:08,980 INFO:Path 178 found
2016-11-17 17:29:08,980 INFO:Path 179 found
2016-11-17 17:29:08,980 INFO:Path 180 found
2016-11-17 17:29:08,982 INFO:Path 181 found
2016-11-17 17:29:08,982 INFO:Path 182 found
2016-11-17 17:29:08,983 INFO:Path 183 found
2016-11-17 17:29:08,983 INFO:Path 184 found
2016-11-17 17:29:08,984 INFO:Path 185 found
2016-11-17 17:29:08,984 INFO:Path 186 found
2016-11-17 17:29:08,986 INFO:Path 187 found
2016-11-17 17:29:08,986 INFO:Path 188 found
2016-11-17 17:29:08,987 INFO:Path 189 found
2016-11-17 17:29:08,987 INFO:Path 190 found
2016-11-17 17:29:08,989 INFO:Path 191 found
2016-11-17 17:29:08,990 INFO:Path 192 found
2016-11-17 17:29:08,990 INFO:Path 193 found
2016-11-17 17:29:08,990 INFO:Path 194 found
2016-11-17 17:29:08,992 INFO:Path 195 found
2016-11-17 17:29:08,993 INFO:Path 196 found
2016-11-17 17:29:08,993 INFO:Path 197 found
2016-11-17 17:29:08,993 INFO:Path 198 found
2016-11-17 17:29:08,994 INFO:Path 199 found
2016-11-17 17:29:09,193 INFO:paths generated : 200
2016-11-17 17:29:09,193 INFO:====GENERATION01====
2016-11-17 17:29:09,585 INFO:population size : 100
2016-11-17 17:29:09,585 INFO:Path 0 : score {'steps': 4, 'alive': 1, 'health': 1000, 'goal': 0, 'gold': 15}
2016-11-17 17:29:09,604 INFO:Path 1 : score {'steps': 14, 'alive': 1, 'health': 1000, 'goal': 0, 'gold': 15}
2016-11-17 17:29:09,611 INFO:Path 2 : score {'steps': 19, 'alive': 1, 'health': 1000, 'goal': 0, 'gold': 15}
